Year,Week,0.0,1.0,2.0,3.0,4.0
2010,48,73739.20999999958,3344.639999999995,23817.350000000122,11625.250000000045,20773.19000000013
2010,49,115155.6499999992,2733.550000000002,34126.60000000019,11081.030000000035,23172.920000000086
2010,50,82637.09999999993,2013.320000000001,26704.500000000076,9071.319999999994,26016.480000000076
2010,51,14387.13000000001,286.95,6392.229999999995,1111.9900000000005,8286.929999999997
2011,1,58499.24999999997,614.9300000000002,17698.52000000008,1908.0300000000002,18371.88000000006
2011,2,49531.69999999991,310.86,17138.020000000044,5820.919999999995,36249.52999999996
2011,3,38405.45999999994,601.2600000000003,10239.309999999998,4280.389999999997,11134.510000000004
2011,4,31719.760000000122,1143.660000000001,21641.380000000096,6482.609999999992,19152.980000000014
2011,5,45139.30999999987,588.55,16335.160000000003,9037.739999999998,18717.26000000007
2011,6,41713.23000000002,770.5900000000006,10040.079999999996,4863.399999999998,15945.200000000039
2011,7,49363.389999999934,415.0,21490.450000000055,3546.269999999994,18481.870000000014
2011,8,45862.21999999979,2202.8500000000017,22525.090000000087,6579.029999999996,21555.490000000056
2011,9,33776.600000000115,1444.120000000001,22081.670000000013,7638.209999999991,16361.940000000035
2011,10,47070.56999999998,861.31,17067.67000000004,7461.459999999997,20028.310000000074
2011,11,65258.97999999988,1345.95,22397.810000000027,8659.38999999999,15121.980000000032
2011,12,62883.56000000007,766.0900000000006,17047.05000000001,9192.909999999993,21989.93000000006
2011,13,43686.07000000013,1554.8600000000008,28847.740000000103,5855.159999999992,28442.450000000088
2011,14,39442.830000000075,1004.3000000000008,23511.160000000113,9113.140000000001,19125.04000000007
2011,15,59392.879999999954,419.14,26667.479999999992,8531.389999999989,27345.671000000097
2011,16,37363.92000000003,746.31,19352.160000000036,4457.719999999999,42028.51000000004
2011,17,36231.93,122.4,13714.289999999992,4737.749999999999,12425.06000000001
2011,18,59286.05999999992,1424.1700000000003,24303.200000000088,5917.409999999993,23567.61000000007
2011,19,66200.05000000024,1705.8799999999994,29639.31000000005,5834.379999999994,28540.34000000004
2011,20,86928.06999999982,2977.5600000000004,38308.07999999999,6513.879999999997,28157.76000000002
2011,21,64549.67999999999,730.51,26072.13000000002,5709.719999999986,23813.73000000005
2011,22,43128.24000000005,1339.18,17298.700000000008,5350.029999999991,14826.209999999992
2011,23,70936.95000000006,1027.7900000000004,28706.890000000123,5662.359999999998,62545.10000000008
2011,24,72223.05000000002,1345.2999999999997,22685.34000000012,5811.009999999996,18495.120000000014
2011,25,42477.470000000125,1549.7100000000012,22145.470000000063,5244.039999999995,19151.549999999963
2011,26,53379.47999999999,236.26999999999998,21587.780000000057,4918.139999999989,11461.379999999986
2011,27,58444.82000000025,1553.020000000001,21266.46000000006,5106.460000000002,27667.480000000098
2011,28,50782.73000000002,1963.3700000000006,25144.14000000008,4631.039999999996,14508.430000000013
2011,29,83757.95000000006,1100.1700000000003,26161.750000000106,4106.100000000001,18720.440000000002
2011,30,66605.60000000015,1760.130000000001,27037.30000000012,4872.759999999996,23914.511000000075
2011,31,70136.10999999983,408.29,26218.420000000086,4997.490000000002,31162.42000000007
2011,32,55667.450000000026,678.8400000000005,21259.970000000052,2123.8700000000003,17814.11999999999
2011,33,71567.34999999998,1899.9800000000005,29392.28000000013,4467.550000000001,17647.500000000022
2011,34,63232.8300000001,2287.1400000000003,31405.6100000001,3438.6400000000017,20650.120000000017
2011,35,52857.87000000008,1861.5000000000007,17854.269999999993,3156.4399999999973,13656.36000000002
2011,36,61439.15999999998,1986.5400000000009,37564.79000000001,5220.139999999999,24307.010000000042
2011,37,89921.08999999952,3351.32,40307.630000000165,6825.889999999996,47079.47000000014
2011,38,149749.12999999963,3525.6699999999987,49830.90000000003,10914.120999999992,35065.520000000004
2011,39,68991.58000000009,8261.219999999983,46176.73999999996,6395.089999999995,40726.151000000056
2011,40,141551.26000000024,13741.3,51434.43999999977,5076.859999999993,41059.760000000184
2011,41,68666.45999999992,10945.970000000028,42537.280000000035,2348.140000000001,36303.91000000011
2011,42,81716.7199999995,18618.09000000006,47687.299999999996,1215.68,29182.21000000013
2011,43,88370.84999999995,23300.599999999973,56130.10999999992,1.0,21002.990000000034
2011,44,126898.08999999953,22751.830000000184,52365.559999999976,43.5,23497.900000000085
2011,45,99854.96999999943,26972.170000000213,80608.17999999931,20.8,20913.57000000003
2011,46,100258.12999999974,35683.3300000002,82632.6999999995,0.0,1812.1000000000004
2011,47,104470.0099999993,28234.03000000015,76802.66999999934,0.0,0.0
2011,48,110569.94999999966,24651.0600000002,84037.7999999995,0.0,0.0
2011,49,137263.75999999905,11270.78999999998,55399.930000000095,0.0,0.0
