Year,Month,DerivedSegment,InvoiceCount,Revenue,ActiveCustomers
2010,12,0.0,661,285919.09000000346,221
2010,12,1.0,54,8378.459999999972,48
2010,12,2.0,373,91040.6799999991,242
2010,12,3.0,182,32889.5900000002,156
2010,12,4.0,285,78249.5199999995,187
2011,1,0.0,465,183643.91000000018,203
2011,1,1.0,22,2670.7100000000005,20
2011,1,2.0,261,70457.92999999957,198
2011,1,3.0,113,20747.75000000011,97
2011,1,4.0,228,163356.03000000023,165
2011,2,0.0,423,181163.8200000013,192
2011,2,1.0,28,4277.319999999997,25
2011,2,2.0,268,70424.84999999976,208
2011,2,3.0,123,23028.540000000125,105
2011,2,4.0,225,75723.66999999966,180
2011,3,0.0,556,235418.96000000232,231
2011,3,1.0,37,5017.239999999993,32
2011,3,2.0,374,95504.57999999868,265
2011,3,3.0,187,35759.46000000012,165
2011,3,4.0,287,94083.94999999924,229
2011,4,0.0,489,182691.12999999966,215
2011,4,1.0,20,2946.9099999999994,17
2011,4,2.0,328,89832.3900000001,241
2011,4,3.0,155,28039.470000000023,131
2011,4,4.0,272,105223.21100000018,213
2011,5,0.0,675,286731.18999999977,251
2011,5,1.0,44,7087.039999999995,37
2011,5,2.0,436,121925.06999999945,307
2011,5,3.0,151,25813.72000000004,128
2011,5,4.0,360,108802.32999999935,262
2011,6,0.0,616,267943.38999999844,247
2011,6,1.0,39,5235.959999999994,35
2011,6,2.0,426,106917.03999999877,289
2011,6,3.0,135,23719.140000000112,124
2011,6,4.0,319,119960.05999999914,247
2011,7,0.0,590,266449.40999999864,245
2011,7,1.0,45,6390.059999999995,39
2011,7,2.0,382,103089.72999999874,282
2011,7,3.0,137,20734.770000000066,108
2011,7,4.0,281,87881.62099999948,221
2011,8,0.0,571,271167.7100000003,244
2011,8,1.0,41,6104.279999999989,35
2011,8,2.0,372,112331.23000000017,277
2011,8,3.0,90,15934.770000000022,81
2011,8,4.0,284,91656.92000000013,230
2011,9,0.0,662,408743.69000000367,260
2011,9,1.0,78,17518.99000000001,67
2011,9,2.0,562,183769.50999999873,412
2011,9,3.0,142,31120.161000000076,133
2011,9,4.0,402,153654.34100000022,304
2011,10,0.0,634,400809.920000007,241
2011,10,1.0,285,70120.90999999977,260
2011,10,2.0,628,208543.68999999884,425
2011,10,3.0,73,9125.979999999987,71
2011,10,4.0,372,132619.62999999817,287
2011,11,0.0,910,478809.5900000144,282
2011,11,1.0,581,125623.31999999724,491
2011,11,2.0,1120,326803.9600000104,664
2011,11,3.0,5,64.3,5
2011,11,4.0,129,43950.219999999965,105
2011,12,0.0,346,352121.46000000084,192
2011,12,1.0,122,21062.170000000162,115
2011,12,2.0,354,98198.18999999881,302
2011,12,4.0,7,0.0,7
