CustomerID,Recency_scaled,Frequency_scaled,Monetary_scaled,DBSCAN_label,Recency,Frequency,Monetary
12346,0.8951006179041536,-0.3690702464285427,2.882792083157403,-1,325,1,77183.6
12747,-1.3670689647314018,1.261859507142915,1.127857659702535,0,2,11,4196.01
12748,-1.8971662718267155,3.867147023450807,2.3716783806357222,-1,0,209,33053.19
12749,-1.2282579451576368,0.6309297535714574,1.1125686692529135,0,3,5,4090.88
12820,-1.2282579451576368,0.4649735207179271,0.2282191772054697,0,3,4,942.34
12821,0.6942490850373886,-0.3690702464285427,-1.163465443937925,1,214,1,92.72
12822,0.1596422557462171,0.0,0.2323831091633153,0,70,2,948.88
12823,0.1860880718656259,0.6309297535714574,0.6042544438445836,0,74,5,1759.5
12824,0.0784178802361909,-0.3690702464285427,-0.2917068924073881,1,59,1,397.12
12826,-1.3670689647314018,0.8927892607143721,0.4979083700815674,0,2,7,1474.72
12827,-1.0326148013968623,0.2618595071429148,-0.2436708000819993,0,5,3,430.15
12828,-1.3670689647314018,0.7712437491614222,0.2751367900041505,0,2,6,1018.71
12829,0.9111131551142568,0.0,-0.4744271759260466,0,336,2,293.0
12830,-0.141975066077631,0.7712437491614222,1.420071303882114,0,37,6,6814.64
12831,0.7914836528511833,-0.3690702464285427,-0.6600983616876003,1,262,1,215.05
12832,-0.2100476571070129,0.0,-0.3134235588700793,0,32,2,383.03
12833,0.507500485535625,-0.3690702464285427,-0.2617912978294663,1,145,1,417.38
12834,0.8268485864253822,-0.3690702464285427,-0.4359532976748543,1,282,1,312.38
12836,0.0784178802361909,0.4649735207179271,0.8418797026734075,0,59,4,2610.36
12837,0.5921571678236234,-0.3690702464285427,-0.9430588875936384,1,173,1,134.1
12838,-0.1956431437607741,0.0,0.0246565861644158,0,33,2,671.95
12839,-1.3670689647314018,1.4649735207179273,1.300854140289294,0,2,14,5591.42
12840,0.5008449957020699,0.4649735207179271,0.8681650583586795,0,143,4,2726.77
12841,-1.1205877535282016,1.9656472730442505,1.0977624114915288,0,4,25,3991.58
12842,0.1596422557462171,0.0,0.3316701689432918,0,70,2,1118.99
12843,0.1244065062275264,1.0000000000000002,0.5843331930564833,0,65,8,1702.26
12844,-0.2560362830983483,0.0,-0.410386314121829,0,29,2,325.96000000000004
12845,0.8005708397496115,0.4649735207179271,-0.3606440923816034,0,267,4,354.09
12847,-0.3842421425217144,-0.3690702464285427,0.1616119358088733,1,22,1,843.64
12849,-0.2248954551540181,0.0,0.2701395536786138,0,31,2,1010.29
12851,0.3102020558878627,-0.3690702464285427,-0.9533623304590804,1,96,1,131.81
12852,0.8468867057418573,-0.3690702464285427,-0.4375516694860492,1,294,1,311.55
12853,0.4697041677577397,0.7712437491614222,0.6683668353923231,0,134,6,1957.1
12854,0.2111594441492347,0.2618595071429148,0.4294427237927344,0,78,3,1316.25
12855,0.960086287957098,-0.3690702464285427,-1.6903320181291015,1,372,1,38.1
12856,-0.8938037818230972,0.7712437491614222,0.7307891206638911,0,7,6,2170.78
12857,0.6851874973553377,0.0,0.3248568405510637,0,210,2,1106.4
12863,0.0185605714510143,-0.3690702464285427,-0.128198318725464,1,52,1,521.2
12864,0.483793208478914,-0.3690702464285427,-0.8876067210367256,1,138,1,147.12
12867,-0.3068743505407743,0.8927892607143721,1.100437390823782,0,26,7,4009.34
12868,0.6243367805886427,0.7712437491614222,0.5496690293428564,0,185,6,1607.0600000000002
12871,0.2464812112032003,0.0,-0.3171861143490608,0,84,2,380.64
12872,0.8965784609058102,0.0,-0.0435235288981643,0,326,2,599.97
12873,0.8268485864253822,-0.3690702464285427,-0.3277643969163637,1,282,1,374.0
12875,0.5008449957020699,0.0,-0.3793644449500766,0,143,2,343.2300000000001
12877,-1.2282579451576368,1.3347175194727927,0.5223395673976446,0,3,12,1535.77
12878,0.7412567512445486,0.0,0.1696567812699998,0,236,2,854.99
12879,-0.0603931393375741,0.2618595071429148,-0.0709655411382093,0,44,3,573.22
12881,0.814763491242678,-0.3690702464285427,-0.4642634993847507,1,275,1,298.0
12882,-0.786133590193662,0.0,0.4931192195965662,0,9,2,1463.04
12883,-0.3440092352296877,0.4649735207179271,0.0522446282166576,0,24,4,703.47
12884,0.2686697348046577,-0.3690702464285427,-0.4423918154464876,1,88,1,309.05
12885,0.1095587081805211,0.2618595071429148,0.361193716784753,0,63,3,1175.22
12886,0.1388110195737654,0.0,0.4572282543951322,0,67,2,1378.4
12888,0.6942490850373886,0.0,-0.3605931757454418,0,214,2,354.12
12890,-0.3440092352296877,-0.3690702464285427,-0.3234086506715564,1,24,1,376.72
12891,0.6243367805886427,0.2618595071429148,-0.4011668604943516,0,185,3,331.0
12893,-0.2402146898412107,-0.3690702464285427,-0.7783811970924513,1,30,1,176.55
12895,-0.0823294332611252,0.0,-0.3296961028513789,0,42,2,372.8
12897,0.6712678196976245,0.0,-0.6560669638084027,0,204,2,216.5
12901,-0.836971657636088,2.065044752110663,1.9937311641394284,0,8,28,17654.54
12902,0.7951390897495282,-0.3690702464285427,-0.9229658399509728,1,264,1,138.68
12904,-0.4764292294121705,0.0,-0.1579350766001835,0,18,2,496.06
12906,-0.6981606380623229,0.6309297535714574,0.909375039661217,0,11,5,2919.81
12908,0.6004054945386567,0.0,0.0907927342152661,0,176,2,750.0
12909,-0.1172252635245831,0.6309297535714574,0.7329747107575314,0,39,5,2178.67
12910,-0.3637064747277833,1.0000000000000002,0.9405836715718568,0,23,8,3075.04
12912,-1.3670689647314018,0.6309297535714574,0.5700250013732213,0,2,5,1662.3
12913,-1.1205877535282016,0.6309297535714574,0.8118973538175466,0,4,5,2483.63
12915,0.517314695655502,0.0,-0.3446325552397581,0,148,2,363.65
12916,0.483793208478914,0.4649735207179271,0.9145403312292236,0,138,4,2944.95
12917,0.4477678738341883,-0.3690702464285427,-0.0495405687039348,1,128,1,594.0
12919,-0.836971657636088,0.7712437491614222,0.4380467814271588,0,8,6,1335.19
12920,-0.5025174943015487,-0.3690702464285427,-0.8270354133928798,1,17,1,162.78
12921,-0.786133590193662,2.311073612817833,1.9561445066850949,0,9,37,16587.09
12922,0.5576771198890786,-0.3690702464285427,-0.2793304879880667,1,161,1,405.38
