Year,Week,GrossRevenue,CancelledValue,InvoiceCount,ActiveCustomers,NetRevenue,AvgOrderValue,CancellationRatePct,WeekIndex,MA_4wk,MA_8wk,SES
2010,48,148627.9700000007,-3580.5799999999995,402,303,145047.3900000007,369.7213184079619,2.3524171276843404,0,148627.9700000007,148627.9700000007,148627.9700000007
2010,49,212619.13000000297,-6805.3699999999935,489,406,205813.76000000298,434.8039468302719,3.1014631456377484,1,180623.55000000185,180623.55000000185,148627.97000000067
2010,50,163116.12000000078,-8960.029999999999,401,336,154156.09000000078,406.7733665835431,5.207014452612961,2,174787.74000000147,174787.74000000147,167825.31800000137
2010,51,46059.510000000024,-2598.729999999998,108,86,43460.78000000003,426.47694444444465,5.34078092425866,3,142605.68250000113,142605.68250000113,166412.55860000118
2011,1,114636.7999999984,-6594.28,224,207,108042.5199999984,511.77142857142144,5.439430218719562,4,134107.89000000054,137011.90600000057,130306.64402000082
2011,2,154344.84999999995,-2367.08,233,212,151977.76999999996,662.4242489270384,1.5104657316134138,5,119539.31999999977,139900.73000000048,125605.69081400009
2011,3,98268.62999999913,-4566.6699999999955,205,186,93701.95999999913,479.3591707317031,4.440761100517073,6,103327.44749999937,133953.2871428574,134227.43856980003
2011,4,104860.9999999986,-6033.979999999997,267,244,98827.0199999986,392.7378277153506,5.441166047372093,7,118027.81999999902,130316.75125000007,123439.79599885974
2011,5,105955.80999999888,-2348.5000000000005,272,247,103607.30999999888,389.54341911764294,2.1684270921443707,8,115857.57249999914,124982.73124999985,117866.15719920139
2011,6,87827.93999999951,-4768.919999999994,197,183,83059.01999999951,445.82710659898225,5.150196237755815,9,99228.34499999903,109383.83249999941,114293.05303944062
2011,7,125700.1499999987,-4044.379999999996,267,236,121655.76999999871,470.78707865168053,3.117187291055767,10,106086.22499999891,104706.83624999915,106353.51912760828
2011,8,130380.76999999824,-4797.06,267,245,125583.70999999825,488.3174906366975,3.548703215608701,11,112466.16749999885,115246.99374999892,112157.50838932539
2011,9,117386.81999999861,-2281.9900000000016,267,242,115104.8299999986,439.65101123594985,1.9069212771481794,12,115323.91999999876,115590.74624999895,117624.48687252722
2011,10,112193.92999999887,-6039.569999999999,269,229,106154.35999999888,417.07780669144563,5.10817154190653,13,121415.4174999986,110321.88124999883,117553.18681076863
2011,11,137669.81999999858,-5510.9299999999985,304,268,132158.8899999986,452.8612499999953,3.848932206319672,14,124407.83499999858,115247.02999999875,115945.4097675377
2011,12,129560.71999999843,-1605.2700000000011,299,270,127955.44999999843,433.3134448160483,1.2238462119639553,15,124202.82249999864,118334.49499999873,122462.73283727595
2011,13,143657.5799999994,-8968.40999999999,320,279,134689.1699999994,448.9299374999981,5.876069993059521,16,130770.51249999882,123047.21624999879,124592.12898609269
2011,14,119697.72999999831,-12885.660000000009,295,266,106812.0699999983,405.7550169491468,9.718909736732613,17,132646.46249999868,127030.93999999865,130311.76429026469
2011,15,134930.82099999883,-2111.0599999999995,344,302,132819.76099999883,392.24075872092686,1.5404487917091692,18,131961.71274999873,128184.77387499867,127127.55400318478
2011,16,115969.3999999994,-26189.73,248,221,89779.6699999994,467.61854838709434,18.422826588767187,19,128563.88274999897,126383.3526249988,129468.534102229
2011,17,73374.06000000006,-2082.4200000000005,193,171,71291.64000000006,380.1764766839381,2.759762978607005,20,110993.00274999914,120881.75762499898,125418.7938715601
2011,18,131094.1199999994,-16587.29,343,291,114506.8299999994,382.19860058308865,11.231806359378655,21,113842.10024999942,123244.28137499905,109805.37371009207
2011,19,178574.31999999992,-6539.029999999995,387,311,172035.28999999992,461.4323514211884,3.5324464713106853,22,124752.97499999969,128357.34387499922,116191.99759706427
2011,20,195818.78999999957,-4920.559999999996,429,349,190898.22999999957,456.45405594405497,2.4512184581647825,23,144715.32249999975,136639.60262499936,134906.69431794496
2011,21,146776.61000000077,-5517.299999999992,327,261,141259.31000000078,448.8581345565773,3.6227975235516405,24,163065.9599999999,137029.48137499954,153180.32302256132
2011,22,102040.36999999956,-1756.1600000000008,238,212,100284.20999999956,428.74105042016623,1.6919255393219872,25,155802.52249999996,134822.31137499967,151259.20911579314
2011,23,193704.11999999877,-42217.84999999999,373,334,151486.2699999988,519.3139946380664,17.894836161295284,26,159584.97249999965,142168.97374999968,136493.55738105506
2011,24,171702.43999999957,-6115.739999999994,341,286,165586.69999999958,503.5262170087964,3.4393221210564686,27,153555.88499999966,149135.60374999972,153656.72616673817
2011,25,112600.66999999907,-8530.479999999992,304,263,104070.18999999907,370.3969407894706,7.042350378081986,28,145011.89999999924,154038.9299999996,159070.4403167166
2011,26,116250.81999999876,-2928.719999999998,255,205,113322.09999999875,455.8855686274461,2.457401664748856,29,148564.51249999905,152183.5174999995,145129.50922170133
2011,27,131222.5199999993,-2661.309999999999,310,269,128561.2099999993,423.2984516129009,1.9877755215099635,30,132944.11249999917,146264.5424999994,136465.90245519055
2011,28,118078.72999999874,-2098.3700000000003,305,262,115980.35999999875,387.1433770491762,1.7460647660827415,31,119538.18499999896,136547.0349999993,134892.88771863317
2011,29,167284.43999999927,-19849.63000000003,325,283,147434.80999999924,514.7213538461516,10.607170570276221,32,133209.127499999,139110.5137499991,129848.64040304284
2011,30,164258.04099999976,-1870.24,324,278,162387.80099999977,506.96926234567826,1.1257806249135887,33,145210.93274999925,146887.72262499915,141079.38028212977
2011,31,155943.0000000004,-6226.199999999997,302,275,149716.8000000004,516.3675496688755,3.8393233733655845,34,151391.05274999954,142167.58262499937,148032.97849749075
2011,32,143544.61999999973,-6691.99999999999,256,226,136852.61999999973,560.721171874999,4.454306812813016,35,157757.52524999977,138647.85512499936,150405.98494824363
2011,33,167634.39999999956,-5292.0799999999945,309,277,162342.31999999957,542.5061488673125,3.060306322085552,36,157845.01524999988,145527.07137499942,148347.57546377045
2011,34,147595.96000000052,-4145.7699999999995,348,301,143450.19000000053,424.1263218390819,2.73212253478327,37,153679.49500000005,149445.21387499967,154133.62282463917
2011,35,113825.96999999923,-10239.180000000004,254,227,103586.78999999922,448.1337401574773,8.253067037762069,38,143150.23749999976,147270.64512499966,152172.32397724758
2011,36,166212.45999999924,-2190.200000000001,379,317,164022.25999999922,438.5553034300771,1.3005732807308452,39,148817.19749999963,153287.3613749997,140668.41778407307
2011,37,208718.8799999982,-5464.530000000001,347,303,203254.3499999982,601.4953314120986,2.5513320569506512,40,159088.3174999993,158466.66637499956,148331.63044885092
2011,38,309091.50100000505,-12615.070000000005,447,385,296476.43100000505,691.4798680089599,3.921296963499016,41,199462.2027500004,176570.84887500023,166447.8053141951
2011,39,193654.4309999985,-4877.949999999999,427,375,188776.4809999985,453.5232576112377,2.457004734154695,42,219419.31800000026,181284.77774999998,209240.9140199381
2011,40,296214.2400000022,-11576.779999999992,472,390,284637.46000000223,627.572542372886,3.7612468355964084,43,251919.763000001,200368.4802500003,204564.9691139562
2011,41,203708.95000000004,-20691.46000000003,429,363,183017.49000000002,474.84603729603737,9.220776379151902,44,250667.28050000148,204877.79900000038,232059.75037977
2011,42,254775.57000000103,-12866.60000000001,429,366,241908.97000000102,593.8824475524499,4.80738891034995,45,237088.29775000043,218275.25025000045,223554.510265839
2011,43,236456.83999999915,-21913.440000000046,502,423,214543.3999999991,471.02956175298635,8.481408929850645,46,247788.9000000006,233604.1090000004,232920.8281860876
2011,44,259374.02000000008,-5497.5499999999965,510,442,253876.4700000001,508.57650980392174,2.0755530689835813,47,238578.8450000001,245249.30400000056,233981.63173026108
